"id","tv_name","ratings","price","original_price","discount_element","operating_system","features","launch_year","warranty"
0,"SAMSUNG Crystal 4K Vision Pro (2024 Edition) 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV","4.3","₹45,990","₹66,900","31% off"," Tizen","Ultra HD (4K) 3840 x 2160 Pixels","2024","2 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel)"
1,"MarQ by Flipkart 80 cm (32 inch) HD Ready LED Smart Coolita TV","4.2","₹8,399","₹21,000","60% off"," Coolita","HD Ready 1366 x 768 Pixels","2023","1 Year Warranty on the Product"
2,"Mi A series 80 cm (32 inch) HD Ready LED Smart Google TV 2023 Edition with HD |Dolby Audio | DTS:HD | ...","4.3","₹11,999","₹24,999","52% off"," Google TV","HD Ready 1366 x 768 Pixels","2023","1 Year Warranty on Product and 2 Years Warranty on Panel"
3,"SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-free Design","4.4","₹13,490","₹18,900","28% off"," Tizen","HD Ready 1366 x 768 Pixels","2022","1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel"
4,"SAMSUNG 108 cm (43 inch) Full HD LED Smart Tizen TV 2023 Edition","4.4","₹24,499","₹37,900","35% off"," Tizen","Full HD 1920 x 1080 Pixels","2023","1 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel"
5,"LG 80 cm (32 inch) HD Ready LED Smart WebOS TV 2023 Edition with a5 AI Processor Gen5, Refresh Rate: 6...","4.3","₹14,990","₹19,990","25% off"," WebOS","HD Ready 1366 x 768 Pixels","2023","1 Year Product Warranty Applicable"
6,"Hyundai 109 cm (43 inch) Full HD LED Smart Android Based TV","3.6","₹17,990","₹46,490","61% off"," Android Based","Full HD 1920 x 1080 Pixels","2022","1 year warranty on product and 6 months on remote"
7,"SAMSUNG Crystal 4K Vivid 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV 2024 Edition","4.3","₹43,990","₹64,900","32% off"," Tizen","Ultra HD (4K) 3840 x 2160 Pixels","2024","2 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel)"
8,"LG 80 cm (32 inch) HD Ready LED Smart WebOS TV","4.3","₹13,990","₹24,990","44% off"," WebOS","HD Ready 1366 x 768 Pixels","2020","1 Year Product Warranty Applicable"
9,"REDMI 80 cm (32 inch) HD Ready LED Smart FireTv OS 7 TV 2023 Edition with Dolby Audio & DTS: Virtual X","4.2","₹11,490","₹24,999","54% off"," FireTv OS 7","HD Ready 1366 x 768 Pixels","2023","1 Year Warranty"
10,"SAMSUNG Crystal 4K Vivid 163 cm (65 inch) Ultra HD (4K) LED Smart Tizen TV 2024 Edition","4.3","₹63,990","₹94,900","32% off"," Tizen","Ultra HD (4K) 3840 x 2160 Pixels","2024","2 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel)"
11,"REDMI 80 cm (32 inch) HD Ready LED Smart FireTv OS 7 TV 2024 Edition with Dolby Audio & DTS: Virtual X","4.2","₹11,999","₹24,999","52% off"," FireTv OS 7","HD Ready 1366 x 768 Pixels","2024","1 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel"
12,"LG UQ7550 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition with a5 Gen5 AI Processor 4K,...","4.4","₹31,990","₹47,990","33% off"," WebOS","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Product Warranty Applicable"
13,"Mi A Series 80 cm (32 inch) HD Ready LED Smart Google TV 2024 Edition","4.3","₹12,999","₹24,999","48% off"," Google TV","HD Ready 1366 x 768 Pixels","2024","1 Year Warranty on Product and 1 Year Additional Warranty on Panel"
14,"LG UQ7550 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition with a5 Gen5 AI Processor 4K,...","4.4","₹44,990","₹71,990","37% off"," WebOS","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Product Warranty Applicable"
15,"MOTOROLA EnvisionX 140 cm (55 inch) Ultra HD (4K) LED Smart Google TV with Inbuilt Box Speakers","4.3","₹29,999","₹56,790","47% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Warranty"
16,"Panasonic 80 cm (32 inch) HD Ready LED Smart Google TV 2023 Edition","4.2","₹14,990","₹20,990","28% off"," Google TV","HD Ready 1366 x 768 Pixels","2023","1 Year Warranty on Product"
17,"KODAK Matrix 189 cm (75 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos and Dolby Vision","4.6","₹99,999","₹1,49,999","33% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Warranty on Product and 6 Months Warranty on Accessories"
18,"Thomson Phoenix 108 cm (43 inch) QLED Ultra HD (4K) Smart Google TV Dolby Vision & Atmos","4.5","₹21,999","₹31,999","31% off"," Google TV","Ultra HD (4K) 3840 × 2160 Pixels","2023","1 Year Warranty on Product and 6 Months Warranty on Accessories"
19,"Acer Advanced I Series 102 cm (40 inch) Full HD LED Smart Google TV 2023 Edition with 1.5GB RAM, 16GB ...","4.3","₹16,999","₹29,999","43% off"," Google TV","Full HD 1080 x 1920 Pixels","2023","1 Year Comprehensive Warranty from the Date of Purchase"
20,"KODAK 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Vision & Atmos","4.6","₹30,999","₹59,999","48% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty on Product and 6 Months Warranty on Accessories"
21,"TCL P635 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV with Google Assistant | + HDR 10 | AI-IN |...","3.9","₹33,999","₹58,000","41% off"," Google TV","Ultra HD (4K) 3840 x 2161 Pixels","2023","2 Years Warranty on Product"
22,"SAMSUNG Crystal 4K Neo Series 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV with Voice Search","4.4","₹39,990","₹70,900","43% off"," Tizen","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel"
23,"Thomson Alpha 80 cm (32 inch) HD Ready LED Smart Linux TV with 30 W Sound Output & Bezel-Less Design","4.4","₹8,499","₹14,999","43% off"," Linux","HD Ready 1366 x 768 Pixels","2022","1 Year Warranty on Product and 6 Months on Accessories"
24,"iFFALCON by TCL U62 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10","4.2","₹26,999","₹73,990","63% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty"
25,"iFFALCON by TCL U62 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10","4.2","₹37,999","₹1,20,990","68% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty"
26,"Panasonic 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition","4.3","₹29,990","₹42,990","30% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Warranty on Product"
27,"KODAK 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV with Dolby Vision & Atmos","4.6","₹28,999","₹49,999","42% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty on Product and 6 Months Warranty on Accessories"
28,"Mi X Series 138 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with 4K Dolby Vision | HDR...","4.3","₹37,999","₹54,999","30% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Warranty on Product and 2 Years Warranty on Panel"
29,"SAMSUNG Crystal Vision 4K iSmart with Voice Assistant 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen T...","4.3","₹29,990","₹54,900","45% off"," Tizen","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel"
30,"Panasonic 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition","4.3","₹42,990","₹62,990","31% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Warranty on Product"
31,"Coocaa Frameless 138 cm (55 inch) Ultra HD (4K) LED Smart Google TV with HDR 10 Dolby Audio and Eye ca...","4.4","₹29,999","₹89,999","66% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty on Product"
32,"iFFALCON by TCL S53 101 cm (40 inch) Full HD LED Smart Android TV with Bezel-Less design & 24W Speaker","4.2","₹13,999","₹38,990","64% off"," Android","Full HD 1920 x 1080 Pixels","2023","1 Year Warranty"
33,"Thomson Alpha 60 cm (24 Inch) HD Ready LED Smart Linux TV 2023 Edition with 20 W Sound Output","4.4","₹6,399","₹9,999","36% off"," Linux","HD Ready 1366 x 768 Pixels","2023","1 Year Warranty on Product and 6 Months Warranty on Accessories"
34,"Blaupunkt Quantum Dot 108 cm (43 inch) QLED Ultra HD (4K) Smart Google TV Dolby Vision & 50W Sound Out...","4.6","₹21,999","₹33,999","35% off"," Google TV","Ultra HD (4K) 3840 × 2160 Pixels","2023","1 Year Warranty on Product and 6 Months Warranty on Accessories"
35,"iFFALCON by TCL U62 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10","4.2","₹18,999","₹49,990","61% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty"
36,"BeethoSOL 80 cm (32 inch) HD Ready LED Smart Android Based TV","4","₹8,049","₹19,000","57% off"," Android Based","HD Ready 1366 x 768 Pixels","2023","Please check the physical product for the warranty period and service center details (if any)"
37,"Panasonic 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition","4.3","₹64,990","₹94,990","31% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Warranty on Product"
38,"MOTOROLA EnvisionX 109 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Inbuilt Box Speakers","4.3","₹22,999","₹49,990","53% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Warranty"
39,"LG UR7500 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition with a5 AI Processor 4K Gen6 ...","4.4","₹30,490","₹49,990","39% off"," WebOS","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Product Warranty Applicable"
40,"KODAK 164 cm (65 inch) QLED Ultra HD (4K) Smart Google TV with Dolby Vision & Atmos","4.6","₹46,999","₹84,999","44% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty on Product and 6 Months Warranty on Accessories"
41,"Coocaa Frameless 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with HDR 10 Dolby Audio and Eye ca...","4.4","₹21,999","₹59,999","63% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty on Product"
42,"Blaupunkt Sigma 60 cm (24 inch) HD Ready LED Smart Linux TV","4.2","₹6,499","₹10,999","40% off"," Linux","HD Ready 1366 x 768 Pixels","2022","1 Year Warranty on Product and 6 Months Warranty on Accessories"
43,"MOTOROLA 80 cm (32 inch) HD Ready LED Smart Google TV","4.2","₹11,499","₹20,000","42% off"," Google TV","HD Ready 1366 x 768 Pixels","2023","1 Year Warranty"
44,"Acer V Series 80 cm (32 inch) QLED HD Ready Smart Google TV","4.1","₹13,999","₹23,999","41% off"," Google TV","HD Ready 1366 x 768 Pixels","2023","2 Years Comprehensive Warranty from the Date of Purchase"
45,"Mi A series 100 cm (40 inch) Full HD LED Smart Google TV 2023 Edition with FHD | Dolby Audio | DTS : H...","4.2","₹19,999","₹29,999","33% off"," Google TV","Full HD 1920 x 1080 Pixels","2023","1 Year Warranty on Product and 2 Years Warranty on Panel"
46,"Coocaa Frameless 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV with HDR 10 Dolby Audio and Eye ca...","4.4","₹42,999","₹99,999","57% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty on Product"
47,"MarQ by Flipkart 109 cm (43 inch) Full HD LED Smart Coolita TV","4.2","₹15,249","₹45,990","66% off"," Coolita","Full HD 1280 x 720 Pixels","2023","1 Year Warranty on the Product"
48,"iFFALCON by TCL U62 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10","4.2","₹26,999","₹73,990","63% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty"
49,"iFFALCON by TCL U62 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10","4.2","₹37,999","₹1,20,990","68% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty"
50,"Panasonic 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition","4.3","₹29,990","₹42,990","30% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Warranty on Product"
51,"KODAK 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV with Dolby Vision & Atmos","4.6","₹28,999","₹49,999","42% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty on Product and 6 Months Warranty on Accessories"
52,"Mi X Series 138 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with 4K Dolby Vision | HDR...","4.3","₹37,999","₹54,999","30% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Warranty on Product and 2 Years Warranty on Panel"
53,"SAMSUNG Crystal Vision 4K iSmart with Voice Assistant 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen T...","4.3","₹29,990","₹54,900","45% off"," Tizen","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel"
54,"Panasonic 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition","4.3","₹42,990","₹62,990","31% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Warranty on Product"
55,"Coocaa Frameless 138 cm (55 inch) Ultra HD (4K) LED Smart Google TV with HDR 10 Dolby Audio and Eye ca...","4.4","₹29,999","₹89,999","66% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty on Product"
56,"iFFALCON by TCL S53 101 cm (40 inch) Full HD LED Smart Android TV with Bezel-Less design & 24W Speaker","4.2","₹13,999","₹38,990","64% off"," Android","Full HD 1920 x 1080 Pixels","2023","1 Year Warranty"
57,"Thomson Alpha 60 cm (24 Inch) HD Ready LED Smart Linux TV 2023 Edition with 20 W Sound Output","4.4","₹6,399","₹9,999","36% off"," Linux","HD Ready 1366 x 768 Pixels","2023","1 Year Warranty on Product and 6 Months Warranty on Accessories"
58,"Blaupunkt Quantum Dot 108 cm (43 inch) QLED Ultra HD (4K) Smart Google TV Dolby Vision & 50W Sound Out...","4.6","₹21,999","₹33,999","35% off"," Google TV","Ultra HD (4K) 3840 × 2160 Pixels","2023","1 Year Warranty on Product and 6 Months Warranty on Accessories"
59,"iFFALCON by TCL U62 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10","4.2","₹18,999","₹49,990","61% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty"
60,"BeethoSOL 80 cm (32 inch) HD Ready LED Smart Android Based TV","4","₹8,049","₹19,000","57% off"," Android Based","HD Ready 1366 x 768 Pixels","2023","Please check the physical product for the warranty period and service center details (if any)"
61,"Panasonic 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition","4.3","₹64,990","₹94,990","31% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Warranty on Product"
62,"MOTOROLA EnvisionX 109 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Inbuilt Box Speakers","4.3","₹22,999","₹49,990","53% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Warranty"
63,"LG UR7500 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition with a5 AI Processor 4K Gen6 ...","4.4","₹30,490","₹49,990","39% off"," WebOS","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Product Warranty Applicable"
64,"KODAK 164 cm (65 inch) QLED Ultra HD (4K) Smart Google TV with Dolby Vision & Atmos","4.6","₹46,999","₹84,999","44% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty on Product and 6 Months Warranty on Accessories"
65,"Coocaa Frameless 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with HDR 10 Dolby Audio and Eye ca...","4.4","₹21,999","₹59,999","63% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty on Product"
66,"Blaupunkt Sigma 60 cm (24 inch) HD Ready LED Smart Linux TV","4.2","₹6,499","₹10,999","40% off"," Linux","HD Ready 1366 x 768 Pixels","2022","1 Year Warranty on Product and 6 Months Warranty on Accessories"
67,"MOTOROLA 80 cm (32 inch) HD Ready LED Smart Google TV","4.2","₹11,499","₹20,000","42% off"," Google TV","HD Ready 1366 x 768 Pixels","2023","1 Year Warranty"
68,"Acer V Series 80 cm (32 inch) QLED HD Ready Smart Google TV","4.1","₹13,999","₹23,999","41% off"," Google TV","HD Ready 1366 x 768 Pixels","2023","2 Years Comprehensive Warranty from the Date of Purchase"
69,"Mi A series 100 cm (40 inch) Full HD LED Smart Google TV 2023 Edition with FHD | Dolby Audio | DTS : H...","4.2","₹19,999","₹29,999","33% off"," Google TV","Full HD 1920 x 1080 Pixels","2023","1 Year Warranty on Product and 2 Years Warranty on Panel"
70,"Coocaa Frameless 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV with HDR 10 Dolby Audio and Eye ca...","4.4","₹42,999","₹99,999","57% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty on Product"
71,"MarQ by Flipkart 109 cm (43 inch) Full HD LED Smart Coolita TV","4.2","₹15,249","₹45,990","66% off"," Coolita","Full HD 1280 x 720 Pixels","2023","1 Year Warranty on the Product"
72,"iFFALCON by TCL U62 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10","4.2","₹26,999","₹73,990","63% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty"
73,"iFFALCON by TCL U62 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10","4.2","₹37,999","₹1,20,990","68% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty"
74,"Panasonic 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition","4.3","₹29,990","₹42,990","30% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Warranty on Product"
75,"KODAK 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV with Dolby Vision & Atmos","4.6","₹28,999","₹49,999","42% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty on Product and 6 Months Warranty on Accessories"
76,"Mi X Series 138 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with 4K Dolby Vision | HDR...","4.3","₹37,999","₹54,999","30% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Warranty on Product and 2 Years Warranty on Panel"
77,"SAMSUNG Crystal Vision 4K iSmart with Voice Assistant 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen T...","4.3","₹29,990","₹54,900","45% off"," Tizen","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel"
78,"Panasonic 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition","4.3","₹42,990","₹62,990","31% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Warranty on Product"
79,"Coocaa Frameless 138 cm (55 inch) Ultra HD (4K) LED Smart Google TV with HDR 10 Dolby Audio and Eye ca...","4.4","₹29,999","₹89,999","66% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty on Product"
80,"iFFALCON by TCL S53 101 cm (40 inch) Full HD LED Smart Android TV with Bezel-Less design & 24W Speaker","4.2","₹13,999","₹38,990","64% off"," Android","Full HD 1920 x 1080 Pixels","2023","1 Year Warranty"
81,"Thomson Alpha 60 cm (24 Inch) HD Ready LED Smart Linux TV 2023 Edition with 20 W Sound Output","4.4","₹6,399","₹9,999","36% off"," Linux","HD Ready 1366 x 768 Pixels","2023","1 Year Warranty on Product and 6 Months Warranty on Accessories"
82,"Blaupunkt Quantum Dot 108 cm (43 inch) QLED Ultra HD (4K) Smart Google TV Dolby Vision & 50W Sound Out...","4.6","₹21,999","₹33,999","35% off"," Google TV","Ultra HD (4K) 3840 × 2160 Pixels","2023","1 Year Warranty on Product and 6 Months Warranty on Accessories"
83,"iFFALCON by TCL U62 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10","4.2","₹18,999","₹49,990","61% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty"
84,"BeethoSOL 80 cm (32 inch) HD Ready LED Smart Android Based TV","4","₹8,049","₹19,000","57% off"," Android Based","HD Ready 1366 x 768 Pixels","2023","Please check the physical product for the warranty period and service center details (if any)"
85,"Panasonic 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition","4.3","₹64,990","₹94,990","31% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Warranty on Product"
86,"MOTOROLA EnvisionX 109 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Inbuilt Box Speakers","4.3","₹22,999","₹49,990","53% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Warranty"
87,"LG UR7500 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition with a5 AI Processor 4K Gen6 ...","4.4","₹30,490","₹49,990","39% off"," WebOS","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Product Warranty Applicable"
88,"KODAK 164 cm (65 inch) QLED Ultra HD (4K) Smart Google TV with Dolby Vision & Atmos","4.6","₹46,999","₹84,999","44% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty on Product and 6 Months Warranty on Accessories"
89,"Coocaa Frameless 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with HDR 10 Dolby Audio and Eye ca...","4.4","₹21,999","₹59,999","63% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty on Product"
90,"Blaupunkt Sigma 60 cm (24 inch) HD Ready LED Smart Linux TV","4.2","₹6,499","₹10,999","40% off"," Linux","HD Ready 1366 x 768 Pixels","2022","1 Year Warranty on Product and 6 Months Warranty on Accessories"
91,"MOTOROLA 80 cm (32 inch) HD Ready LED Smart Google TV","4.2","₹11,499","₹20,000","42% off"," Google TV","HD Ready 1366 x 768 Pixels","2023","1 Year Warranty"
92,"Acer V Series 80 cm (32 inch) QLED HD Ready Smart Google TV","4.1","₹13,999","₹23,999","41% off"," Google TV","HD Ready 1366 x 768 Pixels","2023","2 Years Comprehensive Warranty from the Date of Purchase"
93,"Mi A series 100 cm (40 inch) Full HD LED Smart Google TV 2023 Edition with FHD | Dolby Audio | DTS : H...","4.2","₹19,999","₹29,999","33% off"," Google TV","Full HD 1920 x 1080 Pixels","2023","1 Year Warranty on Product and 2 Years Warranty on Panel"
94,"Coocaa Frameless 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV with HDR 10 Dolby Audio and Eye ca...","4.4","₹42,999","₹99,999","57% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty on Product"
95,"MarQ by Flipkart 109 cm (43 inch) Full HD LED Smart Coolita TV","4.2","₹15,249","₹45,990","66% off"," Coolita","Full HD 1280 x 720 Pixels","2023","1 Year Warranty on the Product"
96,"iFFALCON by TCL U62 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10","4.2","₹26,999","₹73,990","63% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty"
97,"iFFALCON by TCL U62 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10","4.2","₹37,999","₹1,20,990","68% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty"
98,"Panasonic 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition","4.3","₹29,990","₹42,990","30% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Warranty on Product"
99,"KODAK 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV with Dolby Vision & Atmos","4.6","₹28,999","₹49,999","42% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty on Product and 6 Months Warranty on Accessories"
100,"Mi X Series 138 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with 4K Dolby Vision | HDR...","4.3","₹37,999","₹54,999","30% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Warranty on Product and 2 Years Warranty on Panel"
101,"SAMSUNG Crystal Vision 4K iSmart with Voice Assistant 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen T...","4.3","₹29,990","₹54,900","45% off"," Tizen","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel"
102,"Panasonic 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition","4.3","₹42,990","₹62,990","31% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Warranty on Product"
103,"Coocaa Frameless 138 cm (55 inch) Ultra HD (4K) LED Smart Google TV with HDR 10 Dolby Audio and Eye ca...","4.4","₹29,999","₹89,999","66% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty on Product"
104,"iFFALCON by TCL S53 101 cm (40 inch) Full HD LED Smart Android TV with Bezel-Less design & 24W Speaker","4.2","₹13,999","₹38,990","64% off"," Android","Full HD 1920 x 1080 Pixels","2023","1 Year Warranty"
105,"Thomson Alpha 60 cm (24 Inch) HD Ready LED Smart Linux TV 2023 Edition with 20 W Sound Output","4.4","₹6,399","₹9,999","36% off"," Linux","HD Ready 1366 x 768 Pixels","2023","1 Year Warranty on Product and 6 Months Warranty on Accessories"
106,"Blaupunkt Quantum Dot 108 cm (43 inch) QLED Ultra HD (4K) Smart Google TV Dolby Vision & 50W Sound Out...","4.6","₹21,999","₹33,999","35% off"," Google TV","Ultra HD (4K) 3840 × 2160 Pixels","2023","1 Year Warranty on Product and 6 Months Warranty on Accessories"
107,"iFFALCON by TCL U62 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10","4.2","₹18,999","₹49,990","61% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty"
108,"BeethoSOL 80 cm (32 inch) HD Ready LED Smart Android Based TV","4","₹8,049","₹19,000","57% off"," Android Based","HD Ready 1366 x 768 Pixels","2023","Please check the physical product for the warranty period and service center details (if any)"
109,"Panasonic 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition","4.3","₹64,990","₹94,990","31% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Warranty on Product"
110,"MOTOROLA EnvisionX 109 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Inbuilt Box Speakers","4.3","₹22,999","₹49,990","53% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Warranty"
